freq,duration,purpose,c_dest,wstatus,unit,geo	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,N1-3,PER,DOM,ACT_INAC,NR,AL	: 	: 	: 	: 	: 	3799000 	: 	4385616 	2710029 	: 	: 	: 	: 
A,N1-3,PER,DOM,ACT_INAC,NR,AT	11614059 	12376376 	13302874 	12529539 	13701664 	13388734 	14018212 	15189831 	12233034 	12908098 	18033947 	17792079 	17838764 
A,N1-3,PER,DOM,ACT_INAC,NR,BE	2900170 	3148329 	2689760 	4122410 	3203589 	4180516 b	4525446 	5225267 	4223336 	7010143 	6147748 	6325636 	5874177 
A,N1-3,PER,DOM,ACT_INAC,NR,BG	3842109 	3846551 	4071907 	3032569 	3364116 	5733767 	5021649 	4871905 	2608587 	3810895 	4156231 	4484780 	4985775 
A,N1-3,PER,DOM,ACT_INAC,NR,CH	6866989 	7743597 	6967693 	6853942 	6893722 	7052225 	6270958 	7083808 	7366468 	7991199 	7803821 	: 	: 
A,N1-3,PER,DOM,ACT_INAC,NR,CY	1823074 	1537768 	1607076 	1857829 	1903611 	1949968 	2106611 	2224148 	2420453 	2833921 	2429087 	2245089 	2253318 
A,N1-3,PER,DOM,ACT_INAC,NR,CZ	36200298 	33439028 	37078080 	31471676 	34237876 	38692095 	35701446 	35583530 	24998821 	27986259 	33641220 	25663027 	28774873 
A,N1-3,PER,DOM,ACT_INAC,NR,DE	167615290 	175945063 	161836384 	178011814 	168656004 	158998081 	165653957 	169979739 	109041635 	135543458 	137011532 	160783148 	172715863 
A,N1-3,PER,DOM,ACT_INAC,NR,DK	26928655 	29541173 b	30055318 	30299877 	26815133 	22321093 	12278571 	22159308 	22556883 	16334782 	15648490 	14409147 	19828682 
A,N1-3,PER,DOM,ACT_INAC,NR,EE	2313852 	2341047 	3398506 	3530087 	4172243 	4139192 	5866192 	4348000 	2746533 	2891746 	3533699 	4087086 	4483860 
A,N1-3,PER,DOM,ACT_INAC,NR,EL	5495625 	2923276 	3581761 	3243607 	3060303 	3270170 	3502922 	2934694 	2629941 	2785092 	3712979 	3556493 	3432642 
A,N1-3,PER,DOM,ACT_INAC,NR,ES	166220655 	163427930 	160529081 	160771044 b	168452946 	177239149 	177822759 	173791988 	91101502 	133118125 	158056422 	163857088 	165538498 
A,N1-3,PER,DOM,ACT_INAC,NR,FI	39189392 	39005051 	36961575 	38055783 	37846876 	39209211 	37093526 	37622277 	28160267 	36923768 	32860465 	28657705 	33353192 
